Headline,Galtung's Criteria,Class
"""The crown prince is so toxic, so tainted, so flawed that I can't ever see myself doing business in the future with Saudi Arabia unless there is a change there"" - US Senator Lindsey Graham on the kingdom's de-facto ruler, Mohammed bin Salman.","Focus on ""our"" suffering; on able-bodied elite males, being their mouth-piece.",War
"In a barrage of tweets over the weekend and Monday morning, President Trump made numerous false claims -- about presidential candidate Joe Biden, Biden's son Hunter Biden, whistleblowers, Democratic Rep. Adam Schiff, Syria, and his own approval rating. CNN's Daniel Dale fact checks the President's tweets.","Focus on ""our"" suffering; on able-bodied elite males, being their mouth-piece.",War
"The elusive chief of the Islamic State of Iraq and the Levant (ISIL) group, Abu Bakr al-Baghdadi, has appeared in a video for the first time in five years.","Focus on ""our"" suffering; on able-bodied elite males, being their mouth-piece.",War
"A former corporate executive, Patrick Shanahan's portfolio at the Department of Defense has been narrow with no experience in international affairs or with counterterrorism. Shanahan will be charged with carrying out the President's orders of withdrawing US troops from Syria, and possibly Afghanistan.","Focus on ""our"" suffering; on able-bodied elite males, being their mouth-piece.",War
"A former corporate executive, Patrick Shanahan's portfolio at the Department of Defense has been narrow with no experience in international affairs or with counterterrorism. Shanahan will be charged with carrying out the President's orders of withdrawing US troops from Syria, and possibly Afghanistan.","Focus on ""our"" suffering; on able-bodied elite males, being their mouth-piece.",War
"BREAKING: As Turkey prepares a major military operation in northern Syria, the US says it won't protect its Kurdish allies. For more on this developing story, click here:","Focus on ""our"" suffering; on able-bodied elite males, being their mouth-piece.",War
"Don't be a tough guy. Don't be a fool! On the day Turkey launched its offensive in Syria, Trump sent a threatening letter to Erdogan:","Focus on ""our"" suffering; on able-bodied elite males, being their mouth-piece.",War
â€œI actually thought it was a prank.â€ Rep. Mike Quigley reacts to President Trumpâ€™s letter to Turkish President Erdogan about Turkeyâ€™s offensive in northern Syria. â€œFor him to write this and to also say that it doesnâ€™t affect us is ignorance at the highest level.â€,"Focus on ""our"" suffering; on able-bodied elite males, being their mouth-piece.",War
"The decision came amid increasing tension between the US and Russia, which warned it would track coalition aircraft in Syria as potential ""targets"" and halted a military hotline with Washington over the incident.","Focus on ""our"" suffering; on able-bodied elite males, being their mouth-piece.",War
"As the senior deputy to ISIL chief Abu Bakr al-Baghdadi, al-Hayali was the primary coordinator for moving large amounts of weapons, explosives, vehicles and people between Iraq and Syria.","Focus on ""our"" suffering; on able-bodied elite males, being their mouth-piece.",War
"President Donald J. Trump also falsely claimed the Kurds ""are much safer now"" despite his recent decision to pull US forces out of northern Syria","Focus on ""our"" suffering; on able-bodied elite males, being their mouth-piece.",War
"Human Rights Watch has echoed accusations by Syrian activists that Russia was behind the use of new advanced cluster munitions in Syria, by dropping them from its warplanes or supplying them to the Assad government.","Focus on ""our"" suffering; on able-bodied elite males, being their mouth-piece.",War
"This unilateral action does nothing to assist in finding a long-term peaceful solution to the conflict in the Middle East. - Jerry Matjila, South Africa's UN ambassador","Focus on ""our"" suffering; on able-bodied elite males, being their mouth-piece.",War
"Security forces estimate some 600 British Muslims have travelled to Syria to join the conflict there, some of them with the Islamic State of Iraq and Levant group.","Focus on ""our"" suffering; on able-bodied elite males, being their mouth-piece.",War
"Both last year and today's missile strikes reveal that the US does not have a long-term strategy in Syria, writes Ibrahim al-Marashi for #AJOpinion","Focus on ""our"" suffering; on able-bodied elite males, being their mouth-piece.",War
"Contrary to Trump's strong language and threats before the strikes, the air strikes did not have any impact and only helped Assad's regime to gain a new moral momentum.","Focus on ""our"" suffering; on able-bodied elite males, being their mouth-piece.",War
"Ankara pledges to continue operation in northeast Syria despite warnings over humanitarian crisis as 100,000 flee homes.","Focus on ""our"" suffering; on able-bodied elite males, being their mouth-piece.",War
"President Donald J. Trump made 87  false claims last week, using relentless dishonesty to defend his dealings with Ukraine and his decisions on Syria","Focus on ""our"" suffering; on able-bodied elite males, being their mouth-piece.",War
World powers fear Turkey's military offensive in northeast Syria could threaten regional security and allow for the revival of ISIL. Here are some of the initial comments following the start of Turkeyâ€™s Operation Peace Spring.,"Focus on ""our"" suffering; on able-bodied elite males, being their mouth-piece.",War
The bigger picture is that these developments are troubling because they're indicators of Trump's desire to get closer to Putin,"Focus on ""our"" suffering; on able-bodied elite males, being their mouth-piece.",War
"Countries that are in the area, some of which are immensely wealthy, would not be there except for the United States, and to a lesser extent France, Trump said.","Focus on ""our"" suffering; on able-bodied elite males, being their mouth-piece.",War
"Australia has unveiled plans to increase government powers to strip citizenship from people convicted of ""terrorism"", and to control the movements of Australian fighters who return home from the battlefields of Syria and Iraq.","Focus on ""our"" suffering; on able-bodied elite males, being their mouth-piece.",War
Six armed opposition factions in Syria have announced that they are joining the ranks of one of the country's largest rebel groups.,"Focus on conflict arena, 2 parties,  1 goal (win), war general zero-sum orientation.",War
"Former Vice President Joe Biden on President Trump's decision to withdraw US troops from northern Syria: ""It is the most shameful thing that any president has done in modern history ... in terms of foreign policy. ... This is shameful, shameful what this man has done."" #DemDebate","Focus on conflict arena, 2 parties,  1 goal (win), war general zero-sum orientation.",War
"The data showed that the Air Force has borne two-thirds of the total spending, or more than $1.8bn, while the daily combat, reconnaissance and other flights cost more than $5m a day.","Focus on conflict arena, 2 parties,  1 goal (win), war general zero-sum orientation.",War
"The government said the legal basis for extending air operations into Syria was the collective self-defence of Iraq as ISIL did not respect national borders. ""We are exercising the right to collective self-defence under Article 51 of the UN charter in striking Daesh (ISIL) in Syria,"" Abbott said, adding that the focus of the campaign would be on ISIL, and not the Assad government.","Focus on conflict arena, 2 parties,  1 goal (win), war general zero-sum orientation.",War
"France has always been at the forefront of the conflict and has been involved from its start when it took a strong position against Bashar al-Assad's government, and also later against Daesh (ISIL).","Focus on conflict arena, 2 parties,  1 goal (win), war general zero-sum orientation.",War
Syria's Assad admits 'setbacks' in war after Idlib's fall \,"Focus on conflict arena, 2 parties,  1 goal (win), war general zero-sum orientation.",War
BREAKING NEWS: First on CNN: House Speaker John Boehner has turned down the request from Russian diplomats to meet with him on Syria.,"Focus on conflict arena, 2 parties,  1 goal (win), war general zero-sum orientation.",War
"Turkish Foreign Minister Mevlut Cavusoglu has rejected a German plan for an internationally enforced security zone along Syria's border with Turkey as ""unrealistic.""","Focus on conflict arena, 2 parties,  1 goal (win), war general zero-sum orientation.",War
"Rafah border crossing, Gaza's only gateway to the outside world with no Israeli control, opened on Monday for four days.","Focus on conflict arena, 2 parties,  1 goal (win), war general zero-sum orientation.",War
"Tunisian authorities said they stopped more than 20 Europeans carrying weapons last week, including 13 French citizens, attempting to cross into the country from neighbouring Libya","Focus on conflict arena, 2 parties,  1 goal (win), war general zero-sum orientation.",War
"Six-metre tall fence will prevent Palestinians from infiltrating Israel from the Gaza Strip, prime minister says.","Focus on conflict arena, 2 parties,  1 goal (win), war general zero-sum orientation.",War
Israel has increased Gaza's fishing limit by 3 nautical miles. Here is what this restrictive policy means for its fishermen:,"Focus on conflict arena, 2 parties,  1 goal (win), war general zero-sum orientation.",War
It is the longest duration since 2013 that the only crossing connecting Gaza to Egypt would be accessible for.,"Focus on conflict arena, 2 parties,  1 goal (win), war general zero-sum orientation.",War
"Since last October, Egypt has only opened Rafah occasionally, for two or three days at a time and mostly only in one direction. According to Eyad al-Bozom, the spokesman of the Interior Ministry in Gaza, the last year was the worst year for border crossings in five years.","Focus on conflict arena, 2 parties,  1 goal (win), war general zero-sum orientation.",War
Both resolutions failed to pass,"Focus on conflict arena, 2 parties,  1 goal (win), war general zero-sum orientation.",War
"How Israel tries to distort reality and maintain the status quo #AJOpinion, by Halim Shebaya.","Focus on conflict arena, 2 parties,  1 goal (win), war general zero-sum orientation.",War
"In July 2005, Israeli Prime Minister Ariel Sharon declared that Israel would withdraw from the occupied Gaza Strip. Israeli settlers living in settler-colonies in the Gaza Strip would also be forcibly removed by August 15, 2005. Ten years later, Israel, with Egypt's aid, effectively maintains an occupation of the Gaza Strip, through an absolute land siege and naval blockade.","Focus on conflict arena, 2 parties,  1 goal (win), war general zero-sum orientation.",War
Secretary of Commerce Wilbur Ross was with President Donald J. Trump the night he launched a military strike in Syria.,"Focus on conflict arena, 2 parties,  1 goal (win), war general zero-sum orientation.",War
"Pakistan’s government has refused to share details on the deployment of a contingent of more than a thousand soldiers to Saudi Arabia, prompting concerns that the troops could support the kingdom's ongoing military campaign in Yemen.","Focus on conflict arena, 2 parties,  1 goal (win), war general zero-sum orientation.",War
"I think this was the breaking point for Secretary Mattis, who's never been known to quit anything. Every star that he has on his shoulders was earned in the blood and the mud of battle, and that has to be taken into account. Former Defense Secretary William Cohen discusses James Mattis' resignation and President Donald J. Trump's plan to withdraw troops from Syria.","Focus on conflict arena, 2 parties,  1 goal (win), war general zero-sum orientation.",War
"It is not possible to name a single Syrian armed opposition group without a regional or international connection. The war in, and on, Syria is, therefore, a bloody exercise in geopolitics and regional reconfiguration. Why? Look at the map.","Focus on conflict arena, 2 parties,  1 goal (win), war general zero-sum orientation.",War
Russia has started delivering S-300 surface-to-air missile systems to Syrian forces.,"Focus on conflict arena, 2 parties,  1 goal (win), war general zero-sum orientation.",War
"US Secretary of State Rex Tillerson on organizing an international coalition to remove Syrian President Assad: ""Those steps are underway""","Focus on conflict arena, 2 parties,  1 goal (win), war general zero-sum orientation.",War
"Moscow is increasingly at risk of being held hostage by Damascus and Tehran, writes Leonid Issaev.","Focus on conflict arena, 2 parties,  1 goal (win), war general zero-sum orientation.",War
LIVE: US President Donald Trump makes statement on Syria conflict.,"Focus on conflict arena, 2 parties,  1 goal (win), war general zero-sum orientation.",War
"Delivering his annual state of the nation address, Russian president says his country will not ignore what he called Turkey's ""aiding of terrorists"".","Focus on conflict arena, 2 parties,  1 goal (win), war general zero-sum orientation.",War
Trump says Turkish group PKK probably a bigger 'terrorist threat' than ISIL as he faces criticism over his Syria move.,"Focus on conflict arena, 2 parties,  1 goal (win), war general zero-sum orientation.",War
"Putin describes US airstrikes on Syria as ""act of aggression"" that ""dealt a serious blow to Russian-US relations.""","Focus on conflict arena, 2 parties,  1 goal (win), war general zero-sum orientation.",War
Support and opposition to US missile strike on Syria Support: â€¢ Saudi Arabia â€¢ Turkey â€¢ Australia â€¢ Israel â€¢ Japan â€¢ United Kingdom Opposition: â€¢Russia â€¢Iran â€¢China,"Focus on conflict arena, 2 parties,  1 goal (win), war general zero-sum orientation.",War
Diplomatic tensions escalate between Turkey and Iran as the two countries trade accusations over their roles in the Syria conflict and the Middle East.,"Focus on conflict arena, 2 parties,  1 goal (win), war general zero-sum orientation.",War
Top military and national security advisers have been urging President Donald J. Trump in recent days not to go through with his plan for a rapid and immediate withdrawal from Syria,"Focus on conflict arena, 2 parties,  1 goal (win), war general zero-sum orientation.",War
"France has accused Syria and its allies of using political uncertainty in the US to launch ""total war"" against opposition-held areas in the country and called for new sanctions on Bashar al-Assad's government for the use of chemical weapons.","Focus on conflict arena, 2 parties,  1 goal (win), war general zero-sum orientation.",War
What we are witnessing today is the regime's most aggressive push to wrestle Aleppo away from rebel groups and to impose new realities on the Syrian conflict that shift regional and international calculations in the regimeâ€™s favour.,"Focus on conflict arena, 2 parties,  1 goal (win), war general zero-sum orientation.",War
"Russia accuses the US of encouraging ""terrorists"" in Syria; the US says it is ""prepared to do more"".","Focus on conflict arena, 2 parties,  1 goal (win), war general zero-sum orientation.",War
"In 2013, these Republicans did not support Obama's request for permission to launch air strikes against the Assad regime","Focus on conflict arena, 2 parties,  1 goal (win), war general zero-sum orientation.",War
"The US is ""locked and loaded"" if the Syrian regime uses chemical weapons again, UN Ambassador Nikki Haley says President Trump told her. Haley defended the US-led strikes on Syria at an emergency United Nations Security Council meeting during which Russia condemned the military action.","Focus on conflict arena, 2 parties,  1 goal (win), war general zero-sum orientation.",War
"The Islamic Republic denies having any military forces in Syria, but says it offers ""military advice"" to Assad's forces in their fight against ""terrorist groups"".","Focus on conflict arena, 2 parties,  1 goal (win), war general zero-sum orientation.",War
The strikes were conducted as part of Operation Inherent Resolve,"Focus on conflict arena, 2 parties,  1 goal (win), war general zero-sum orientation.",War
"The Americans' refusal to coordinate their anti-terrorist campaign with us is a big mistake. We are seriously prepared for such a coordination. We are ready to give air support to the patriotic opposition, including the so-called Free Syrian Army.","Focus on conflict arena, 2 parties,  1 goal (win), war general zero-sum orientation.",War
The fundamental aim in the latest operation [of the strikes on Jarablus and Manbij] is to open a corridor for moderate rebels. - Turkish official,"Focus on conflict arena, 2 parties,  1 goal (win), war general zero-sum orientation.",War
"To some Iranian analysts, the air strikes in Syria reflected the ""hypocrisy"" and ""duplicity"" of American foreign policy.","Focus on conflict arena, 2 parties,  1 goal (win), war general zero-sum orientation.",War
"I didn't believe it. ... I thought, obviously this was some untruth. Rep. Adam Kinzinger on President Donald J. Trump ordering the rapid withdrawal of US military from Syria. ""The President ran saying he was going to defeat ISIS; ISIS isn't defeated,"" says Kinzinger, adding that he believes the President's decision will ""double or triple the size of ISIS, probably overnight.""","Focus on conflict arena, 2 parties,  1 goal (win), war general zero-sum orientation.",War
Daesh knows there's a financial upside of this activity and they are trying to gain from it. We know also that parties in the conflict are selling to certain dealers and to private collectors and to market end buyers.,"Focus on conflict arena, 2 parties,  1 goal (win), war general zero-sum orientation.",War
"The deal excludes the Islamic State of Iraq and the Levant (ISIL) group and the al-Nusra Front, which are listed as terrorist groups by the UN Security Council.","Focus on conflict arena, 2 parties,  1 goal (win), war general zero-sum orientation.",War
"The US has screened some 12 hundred so-called â€˜moderateâ€™ rebels to be trained and equipped to battle ISIL in Syria. But how will the new policy affect the fight against Syrian president Bashar al-Assad? Four years into the conflict, what are the US priorities in Syria, and where do its international allies stand?","Focus on conflict arena, 2 parties,  1 goal (win), war general zero-sum orientation.",War
"On Inside Story: A month into its air strike campaign in Syria, the Kremlin is proposing new presidential and parliamentary elections. With Moscow apparently calling the shots in Damascus, isn't the call premature? And could it lead to a political settlement?","Focus on conflict arena, 2 parties,  1 goal (win), war general zero-sum orientation.",War
Ankara believes the YPG has another agenda apart from fighting ISIL. President Erdogan has accused the Kurds of wanting to capture the border crossing in Jarablous to link its territories and eventually declare a state.,"Focus on conflict arena, 2 parties,  1 goal (win), war general zero-sum orientation.",War
The Russians see Mr Assad as a bulwark against extremists; the Americans see Mr Assad as continuing to fan the flames of a sectarian conflict there.,"Focus on conflict arena, 2 parties,  1 goal (win), war general zero-sum orientation.",War
The two Britons were captured in Syria in January and are accused of being members of the Islamic State 'Beatles' gang.,"Focus on conflict arena, 2 parties,  1 goal (win), war general zero-sum orientation.",War
"Kadiza Sultana, a 16-year-old girl ""with a promising future"", went to Syria to join so-called Islamic State.","Focus on conflict arena, 2 parties,  1 goal (win), war general zero-sum orientation.",War
"Putin, Erdogan and Rouhani are still far from reaching a compromise on the post-conflict future of Syria. â€” #AJOpinion, by Leonid Issaev,","Focus on conflict arena, 2 parties,  1 goal (win), war general zero-sum orientation.",War
"Brett McGurk said it would be ""reckless"" to pull troops out of Syria.","Focus on conflict arena, 2 parties,  1 goal (win), war general zero-sum orientation.",War
"The terrorists must leave the east of the Euphrates. If they don't go, we will remove them. - Recep Tayyip Erdogan","Focus on conflict arena, 2 parties,  1 goal (win), war general zero-sum orientation.",War
"A perfectly executed strike last night, Trump tweeted. ""Could not have had a better result. Mission Accomplished!""","Focus on conflict arena, 2 parties,  1 goal (win), war general zero-sum orientation.",War
"Turkish artillery shelling of Syrian territory constitutes direct support to the armed terrorist organisations, the Syrian foreign ministry told the UN Secretary General and the Security Councilâ€™s Chairman on Sunday.","Focus on conflict arena, 2 parties,  1 goal (win), war general zero-sum orientation.",War
Russia accused but minister denies.,"Focus on conflict arena, 2 parties,  1 goal (win), war general zero-sum orientation.",War
BREAKING NEWS: A new national survey shows President Barack Obama is swimming against a strong tide of public opinion as he presses his case for a U.S. military strike in Syria.,"Focus on conflict arena, 2 parties,  1 goal (win), war general zero-sum orientation.",War
The Syria strikes sparked protests at the White House overnight,"Focus on conflict arena, 2 parties,  1 goal (win), war general zero-sum orientation.",War
Britain's prime minister is about to face questions in parliament about UK's decision to launch coordinated strikes on Syria with American and French forces without parliamentary approval.,"Focus on conflict arena, 2 parties,  1 goal (win), war general zero-sum orientation.",War
"Calling last week's US strike on a Syrian air base a ""game changer"", British Foreign Secretary Boris Johnson said support for the Syrian president ""was toxifying the reputation of Russia"" and suggested sanctions could be imposed on Moscow if it refused to change course.","Focus on conflict arena, 2 parties,  1 goal (win), war general zero-sum orientation.",War
"UK, France stunned, while Russia and Turkey sense opportunity to advance own agenda, as Trump says ISIL is defeated.","Focus on conflict arena, 2 parties,  1 goal (win), war general zero-sum orientation.",War
Turkey has summoned the US ambassador after a US State Department spokesman said Washington did not regard Syria's Kurdish Democratic Union Party (PYD) as a terrorist organisation,"Focus on conflict arena, 2 parties,  1 goal (win), war general zero-sum orientation.",War
Is the US air strike in Syria a one-off or the start of military action against the Assad's regime?,"Focus on conflict arena, 2 parties,  1 goal (win), war general zero-sum orientation.",War
"Mexico is the most dangerous country in the world for journalists, even more dangerous than Afghanistan and Syria. - Anabel HernÃ¡ndez, journalist and 2019 recipient of the DW Deutsche Welle Freedom of Speech Award at the DW Global Media Forum. via DW Freedom","Focus on conflict arena, 2 parties,  1 goal (win), war general zero-sum orientation.",War
"A Dutch squadron of four F-16 fighter jets is already stationed in Jordan, but was hitherto limited to striking ISIL positions in Iraq.","Focus on conflict arena, 2 parties,  1 goal (win), war general zero-sum orientation.",War
THE LATEST: US Secretary of State Mike Pompeo denies giving Turkey operation 'green light' for a military offensive into Syria.,"Focus on conflict arena, 2 parties,  1 goal (win), war general zero-sum orientation.",War
"Trump administration new travel restrictions | What you need to know â€¢ The new travel restrictions are on certain foreigners from Chad, Iran, Libya, North Korea, Somalia, Syria, Venezuela and Yemen. â€¢ The list of countries notably includes North Korea and Venezuela. â€¢ The restrictions on travel vary by country and include a phased-in approach. â€¢ Sudan is no longer on the list.","Focus on conflict arena, 2 parties,  1 goal (win), war general zero-sum orientation.",War
"They feel that if they stay inside Aleppo, the siege is only going to get worse and the humanitarian crisis is only going to increase. They say if they leave, they fear they will be treated harshly by Syrian forces.","Focus on conflict arena, 2 parties,  1 goal (win), war general zero-sum orientation.",War
You have to keep cleaning this area and to push the terrorists to Turkey.,"Focus on conflict arena, 2 parties,  1 goal (win), war general zero-sum orientation.",War
Right now we're not getting along with Russia at all.,"Focus on conflict arena, 2 parties,  1 goal (win), war general zero-sum orientation.",War
"The US commander who has been leading the war against ISIS says he disagreed with President Donald J. Trump's decision to pull troops out of Syria and warns that the terror group is far from defeated, in a stark public break with the President. CNN's Barbara Starr reports live from Muscat, Oman:","Focus on conflict arena, 2 parties,  1 goal (win), war general zero-sum orientation.",War
"Tehran, a crucial supporter of the Syrian government, says the US caused 'instability and insecurity' in the region.","Focus on conflict arena, 2 parties,  1 goal (win), war general zero-sum orientation.",War
"Many Westerners who join anti-ISIL groups don't understand the Syrian revolution, writes Malak Chabkoun.","Focus on conflict arena, 2 parties,  1 goal (win), war general zero-sum orientation.",War
"All smaller Syrian rebel groups, regardless of their secular, Islamist or extremist orientation, now face the same dilemma. - Rami G Khouri","Focus on conflict arena, 2 parties,  1 goal (win), war general zero-sum orientation.",War
"Opinion: ""Putin's message to Assad may be read as follows: You can no longer bank on sustained Russian effort to defeat your enemies"" Marwan Bishara, senior political analyst at Al Jazeera, writes.","Focus on conflict arena, 2 parties,  1 goal (win), war general zero-sum orientation.",War
"The ""dissent channel cable"", signed by 51 State Department officials, calls for targeted military strikes against Bashar al-Assad's government.","Focus on conflict arena, 2 parties,  1 goal (win), war general zero-sum orientation.",War
Republicans and Democrats rebuke Trump's decision to pull troops from northern Syria's border with Turkey.,"Focus on conflict arena, 2 parties,  1 goal (win), war general zero-sum orientation.",War
"A Syrian military offensive backed by heavy Russian air strikes threatens to cut critical rebel supply lines into the northern city of Aleppo, as peace talks in Switzerland appear to be in jeopard","Focus on conflict arena, 2 parties,  1 goal (win), war general zero-sum orientation.",War
"The conflict is a colossal tragedy for Syria and a shameful symbol of international divisions. Historyâ€™s judgement will be harsh, UN chief said.","Focus on conflict arena, 2 parties,  1 goal (win), war general zero-sum orientation.",War
Turkey-backed rebels shoot down a Syrian army helicopter amid government offensive on Idlib.,"Focus on conflict arena, 2 parties,  1 goal (win), war general zero-sum orientation.",War
"Opinion: ""The Russian campaign to be the main arbiter of Syria's future offers Israel both opportunities and challenges."" Geoffrey Aronson, a specialist in Middle East affairs, writes for Al Jazeera.","Focus on conflict arena, 2 parties,  1 goal (win), war general zero-sum orientation.",War
It is one thing to be pleased that serious damage has been done to a pro-Assad regime airbase by US strikes in Syria. It is another thing to fawn at Donald Trump's feet. - Malak Chabkoun,"Focus on conflict arena, 2 parties,  1 goal (win), war general zero-sum orientation.",War
What made ISIL? - The US occupation of Iraq - Iranian manipulation of instability in Iraq and Syria - The cruelty and brutality of dictators like Bashar al-Assad - Sectarian cynicism,"Focus on conflict arena, 2 parties,  1 goal (win), war general zero-sum orientation.",War
Israel' military has carried out strikes on Iranian and Iran-affiliated targets in Syria in the past.,"Focus on conflict arena, 2 parties,  1 goal (win), war general zero-sum orientation.",War
"As Turkish forces enter Syria, the US secretary of state defends President Trump's decision to withdraw US troops from the border.","Focus on conflict arena, 2 parties,  1 goal (win), war general zero-sum orientation.",War
Donald J. Trump says his rival Hillary Clinton's foreign policy plan would trigger World War Three.,"Focus on conflict arena, 2 parties,  1 goal (win), war general zero-sum orientation.",War
"In an exclusive interview with the BBC's Middle East Editor Jeremy Bowen, Syria's President #Assad denies that his forces had dropped barrel bombs on rebels","Focus on conflict arena, 2 parties,  1 goal (win), war general zero-sum orientation.",War
"This photo of Democrat Nancy Pelosi at an ""explosive"" White House meeting on Syria is causing a stir.","Focus on conflict arena, 2 parties,  1 goal (win), war general zero-sum orientation.",War
"As Turkey's military operation into Syria continues for the seventh day, here are the latest updates:","Focus on conflict arena, 2 parties,  1 goal (win), war general zero-sum orientation.",War
"Just so there's no confusion here, if the Syrian regime uses chemical weapons we will respond very strongly and they really ought to think about this a long time, Bolton said.","Focus on conflict arena, 2 parties,  1 goal (win), war general zero-sum orientation.",War
Nothing drums up support for a sitting president in the US like ordering a strike on a foreign country. (via The Listening Post),"Focus on conflict arena, 2 parties,  1 goal (win), war general zero-sum orientation.",War
"The Turkish requests are so extensive that, if fully met, the American military might be deepening its involvement in Syria instead of reducing it. - Wall Street Journal","Focus on conflict arena, 2 parties,  1 goal (win), war general zero-sum orientation.",War
"BREAKING NEWS: President Obama is expected to make remarks about Syria at 2:15 p.m. ET, according to a senior administration official.","Focus on conflict arena, 2 parties,  1 goal (win), war general zero-sum orientation.",War
Assad's rule is the reason why Turkish-Syrian relations and Syria itself are in the current state. This will never change until he is gone - and the country will continue to suffer.,"Focus on conflict arena, 2 parties,  1 goal (win), war general zero-sum orientation.",War
"During the call, Turkish President Recep Tayyip Erdogan was explaining all the problems with the US presence in Iraq and Syria and was irritating President Donald J. Trump, according to a senior administration official","Focus on conflict arena, 2 parties,  1 goal (win), war general zero-sum orientation.",War
Putin and Erdogan agree to boost economic ties in Sochi talks - but there was little obvious progress on Syria,"Focus on conflict arena, 2 parties,  1 goal (win), war general zero-sum orientation.",War
"Turkey's military action on Syria will have consequences far beyond the 'safe zone' it is trying to establish â€” #AJOpinion, by Marwan Kabalan.","Focus on conflict arena, 2 parties,  1 goal (win), war general zero-sum orientation.",War
"I am sure that neither the United States nor Russia want [the conflict] to become a so-called proxy war, Sergey Lavrov, Russia's foreign minister, said on Friday after the multilateral talks in Vienna.","Focus on conflict arena, 2 parties,  1 goal (win), war general zero-sum orientation.",War
"The former top American general overseeing operations in the Middle East lambasted President Donald J. Trump's decision to pull US troops away from the Syrian-Turkish border in the face of an imminent Turkish military offensive against America's Syrian Kurdish allies, writing on Tuesday that it ""could not come at a worse time.""","Focus on conflict arena, 2 parties,  1 goal (win), war general zero-sum orientation.",War
"The announcement, following Russia's increasing military involvement in Syria, will put more pressure on the US to act","Focus on conflict arena, 2 parties,  1 goal (win), war general zero-sum orientation.",War
Turkey's military push into Syria meets growing backlash amid battle with Kurdish-led forces for control of Ras al-Ain.,"Focus on conflict arena, 2 parties,  1 goal (win), war general zero-sum orientation.",War
"The ban that bars most people from Iran, Libya, Somalia, Syria and Yemen from entering the US has been upheld.","Focus on conflict arena, 2 parties,  1 goal (win), war general zero-sum orientation.",War
"Turkish tanks and hundreds of opposition fighters thrust deep inside Syrian territory on Wednesday in a lightning operation that within hours pushed Islamic State in Iraq and the Levant (ISIL, also known as ISIS) fighters out of a key Syrian border town.","Focus on conflict arena, 2 parties,  1 goal (win), war general zero-sum orientation.",War
"BREAKING: Syrian opposition fighters backed by Turkey have taken control of the northern Syrian town of Dabiq, which is held by ISIL.","Focus on conflict arena, 2 parties,  1 goal (win), war general zero-sum orientation.",War
"Syria's ever changing battle lines have become even more complex since Russian airstrikes began two weeks ago. Thousands of Iranian troops have reportedly been drafted in to fight alongside Syrian government and Hezbollah forces. So, is the tug of war over Syria heating up between Russia and the US? Will it lead to resolution or deeper conflict?","Focus on conflict arena, 2 parties,  1 goal (win), war general zero-sum orientation.",War
