Headline,Class
"""People who attend the mosque and locals both said it was run by peaceful people, and first responders told us they did not find any weapons amidst the rubble.""",Peace
â€œThe world is watching. The world doesnâ€™t do anything.â€ 7-year-old Syrian refugee Bana Alabed makes a passionate plea for the world to help Syria's children,Peace
"""They fabricated the whole story in order to have a pretext for the attack.""",Peace
"BREAKING: U.S. Special Operations forces conducted a raid deep into Syria overnight to capture Abu Sayyaf, a senior ISIS commander, sources told CNN.",Peace
"50 years ago, Israel went to war with the armies of Egypt, Syria and Jordan. This is what happened.",Peace
"""I am putting the people on notice that are coming here from Syria as part of this mass migration, that if I win, if I win, they are going back, they are going back, I am telling you, they are going back,"" Trump said.",Peace
"""We're experiencing genocide in Aleppo in slow motion..",Peace
"""I didn't want to be IS poster girl."" London teenager Shamima Begum, who joined Islamic State group in Syria, tells the BBC she wants the UK's forgiveness and she supports ""some British values.""",Peace
Not much has changed since this 2015 article.,Peace
"At least 106 civilians, including 42 children, have been killed in a series of air strikes by the US-led coalition on an ISIL-held town in eastern Syria, according to a monitoring group.",Peace
"Aya, 8, was pulled from rubble after an airstrike hit her home in Syria. Rescue workers tried to wipe the blood away as she shouted ""Baba,"" which means dad in Arabic.",Peace
"â€œIs this a way to live?â€ One Kurdish refugee says she sold all her belongings for her family to be smuggled out of Northern Syria to Iraq, wearing only the clothes on their back. Thousands of Kurds continue to flee Syria for Bardarash, one of Northern Iraqâ€™s largest refugee camps, months after Turkey invaded Northern Syria and President Trump ordered U.S. troops to withdraw from the region. With minimal supplies, life isnâ€™t easy for these refugees. They feel persecuted and abandoned, and many fear they may never be able to return home.",Peace
"Bernie Sanders: ""When we talk about Syria, you're talking about a quagmire in a quagmire."" #DemDebate",Peace
British government wins support for air strikes against IS in Syria by 397 to 223.,Peace
"Russian air strikes in Syria have killed over 400 civilians since September this year, monitoring groups say.",Peace
"Syria's UN envoy used a fake photo to defend Syrian forces at the UNSC yesterday. Unfortunately for him, reverse image search is a thing.",Peace
"Erdogan: ""US gives support to terrorist groups including Daesh""",Peace
"""For the young ones, their weight wouldn't kill them. The officers' assistants would pull them down and break their necks,"" said a former judge who witnessed the executions.",Peace
"""One rocket hit the entrance of the school as students were leaving to go home.""",Peace
"US, UK and France launch attack on 'chemical weapon sites' in Syria. Here are 5 things you need to know:",Peace
"""While we host 2.2 million refugees, Europe as a whole houses less than 250,000 refugees in total,"" Erdogan said. European Union officials are hoping to convince Erdogan to shelter more Syrian refugees in return for aid.",Peace
"The ""Help Abdul and Reem start a new life"" campaign was started on Thursday by Gissur Simonarson, an Icelandic journalist and activist, after he found Abdul Halim Attar's family in Lebanon's capital following a two-day search.",Peace
Seven-year-old Mustafa has been left orphaned and disabled because of the war in Syria. But he keeps on smiling. ðŸ˜„,Peace
"""We have documented their names and can say at least 346 of them were children.""",Peace
"BREAKING: Truce in Syria to begin at midnight, says Putin.",Peace
"Missiles lit up the sky over Damascus early Saturday as the US, UK and France launched strikes on Syria over its alleged use of chemical weapons.",Peace
The image of Omran reminds many of another child who died trying to escape Syria's civil war,Peace
"""We should be sitting around a table talking about this. People are being killed without any excuse. There has been no good result so far - only refugees coming to Europe from all over the world. Syria will soon be empty.""",Peace
"""The US, Russia and France are all bombing Syria. How many more countries want to bomb us? Raqqa is devastated. Raqqa has endured the unbearable and we live in fear under ISIL's dictatorship."" - Raqqa resident",Peace
BREAKING: US special forces conduct a raid in Syria killing senior ISIL leader Abu Sayyaf and capturing his wife. http://aje.io/qc8s:=:http://www.aljazeera.com/news/2015/05/special-forces-kill-isil-abu-sayyaf-syria-raid-150516122453700.html,Peace
"""In Raqqa city, if you don't die from air strikes, you die by mortar fire; if not by mortars then by sniper shots; if not by snipers, then by an explosive device.""",Peace
"""While we continue to monitor the terrible situation, it is clear that this is how Bashar al-Assad operates: with brutal, unabashed barbarism."" - US Secretary of State Rex Tillerson",Peace
"When his house was burning down, he ran inside to grab his university ID. Meet the man teaching Syria's lost generation.",Peace
"Saudi Arabia hails Donald Trumpâ€™s â€œcourageous decisionâ€, Iran â€œstrongly condemns unilateral strikesâ€ â€“ World reacts to US strike in Syria.",Peace
"""No words describe the bravery required to take such an action.""",Peace
"In an interview with Fox Business, President Donald J. Trump misspoke while saying he was enjoying cake when he told the Chinese president that 59 missiles were fired at Iraq rather than Syria.",Peace
"At least 8 people, including 5 children, have been killed in Syria after an air strike hit a school building where displaced families were sheltering.",Peace
US-led air strikes kill 21 civilians in Syria,Peace
"Syria's war, through the eyes of children. Hear about their hopes and fears in the full video",Peace
"""Sixty-eight years after failing to defend Palestine, Arab states have proved incapable of defending Syria."" - Robin Yassin-Kassab",Peace
"A 13-year-old boy outside the train station: ""The police don't like the Syrians in Serbia, in Hungary in Macedonia, in Greece. Please help the Syrians. You just stop the war, we won't want to go to Europe. Just stop the war in Syria.""",Peace
Breaking news: Russian President Vladimir Putin has announced that the Syrian government and armed opposition have signed a ceasefire agreement.,Peace
"""We found bodies all over the floor. We are simply speechless, there is nothing left to say.""",Peace
"Every so often, a photograph cuts through the grim cacophony of the war in Syria and pierces viewers' hearts",Peace
"Under the Turkish incursion, Syrian Kurds are holding daily mass funerals. CNN's Nick Paton Walsh reports from the ground where the Kurdish humanitarian groups are left to fend for themselves as northern Syria goes from refuge to frontline. https://cnn.it/2OVoagn:=:https://www.cnn.com/2019/10/17/middleeast/syria-kurdish-turkey-displaced-intl/index.html?utm_medium=social&utm_source=fbCNN&utm_content=2019-10-17T11:38:08",Peace
"""Seventy people suffocated to death and hundreds still suffocating.""",Peace
"In June 1967, Israel absorbed the whole of historic Palestine, as well as additional territory from Egypt and Syria.",Peace
The child survived after his residential neighbourhood was targeted with missiles and unguided explosive devices called barrel bombs.,Peace
"The announcement comes a day after the President's plans to withdraw troops from Syria became public, a decision that Mattis and other top national security advisers opposed",Peace
"The United Nations Security Council is convening an emergency meeting at the request of Russia, which condemned US-led strikes on Syria overnight",Peace
"At least a quarter million people, including 12,000 children, killed since Syria conflict broke out in March 2011",Peace
This video shared on social media appears to show a US army vehicle running a Russian military vehicle off the road in Syria.,Peace
"""They treated us like animals. They wanted people to be as inhuman as possible. I saw the blood, it was like a river ... We used to always say here that there was no justice in Syria but I never imagined humanity would reach such a low level.""",Peace
Here are 3 reasons why Russia is involved in the Syrian war.,Peace
"Refugees from Syria, Palestine, Afghanistan and Iraq are creating their own community centres in Athens to stay connected to their cultures.",Peace
"""Even with the deadly standards of this war, these death tolls are staggering.""",Peace
"Locals in Aleppo, Syria, threw a party for kids who have been burning tires in the street, trying to stop airstrikes in their neighborhood http://cnn.it/2bjCjQH:=:http://www.cnn.com/2016/08/19/middleeast/syria-omran-daqneesh-aylan-kurdi-reaction/index.html?sr=fbCNN081916syria-omran-daqneesh-aylan-kurdi-reaction0930PMVODtopVideo&linkId=27850754",Peace
Officials in Damascus deny using any such weapons.,Peace
"A Muslim convert who joined the Islamic State group in Syria as a teen has had his British citizenship revoked, the BBC understands.",Peace
Refugees in Greece are working together to make their communities feel more like home.,Peace
Syria: A failure for humanity: The international community's inaction continues to give Syrians the message that their human worth is insignificant.,Peace
"Pope Francis delivered the traditional Easter Sunday Mass sermon in Rome on Sunday with a call for an end to the ""horror and death"" in Syria and prayed for Jesus to help world leaders end the arms trade",Peace
"A year ago, a shocked and injured Omran Daqneesh became the face of the war in Syria. We went to Aleppo to see what life is like for 4-year-old Omran and his family now",Peace
"""We ask God to help us annihilate them."" http://aje.io/jb9n:=:http://trib.al/3WPfJqB",Peace
"Arab coalition air strikes and heavy shelling between warring factions shook several cities in Yemen, despite a UN humanitarian truce which took effect just before midnight.",Peace
"Rebel spokesman says Houthis used surface-to-air missile to down Saudi helicopter near border, killing its 2 pilots.",Peace
"""I'm much better living here than being homeless in the street."" War has forced this Yemeni man to live in a treehouse.",Peace
"In an extremely rare move, a former Al Qaeda operative comes out of the shadows and makes startling claims.",Peace
Three suicide bombs targeting checkpoints went off in Aden.,Peace
"""No one has won in the war in Yemen, it's absolutely clear who the losers are and they are the starving millions of children and innocent civilians whose pictures we increasingly see in our newspapers and on our TV screens."" -Mark Lowcock, UN humanitarian chief",Peace
"The UAE's announcement leaves open the likelihood that Emirati troops would remain in Yemen, where they currently operate in Hadramawt province and Aden city.",Peace
"A group of Al Jazeera journalists who disappeared 10 days ago in Yemen have been freed by their kidnappers, whose identities remain unclear",Peace
"""A loss for the region"": Under Sultan Qaboos Oman became a centre for back-door negations between Iran and the US, as well as representatives of Yemen's Houthi rebels and Saudi Arabia.",Peace
Thousands of injured Yemenis have been treated in Oman - then returned.,Peace
"""Without access to safe, commercial travel, Yemenis are left with no way to access critical medical care. The result is devastating. Thousands of women, men and children who could have been saved lost their lives.""",Peace
"European powers condemn Turkey over its Syria operation, but turn a blind eye to Saudi Arabia's crimes in Yemen. â€” writes Ali Bakeer for #AJOpinion",Peace
"Russian cruise missiles have hit ISIS targets in Syria, according to state media",Peace
"Syria's refugee crisis has shone a light on sex trafficking in Lebanon, where victims are often treated as criminals.",Peace
"Thousands of civilians and hundreds of fighters have fled the village of Baghouz, ISILâ€™s last enclave in Syria, but some are ready to fight to the end.",Peace
"Bana Alabed, a 7-year-old Syrian girl who escaped Aleppo, is hoping President Donald J. Trump will do something for the children of Syria http://cnn.it/2jFulTd:=:http://www.cnn.com/2017/01/27/politics/trump-plans-to-sign-executive-action-on-refugees-extreme-vetting/index.html?sr=fbCNN012717trump-plans-to-sign-executive-action-on-refugees-extreme-vetting0635PMVODtopVideo&linkId=33854110",Peace
"""You can do something here. Just stop it."" East Aleppo journalist Zouhir AlShimale has a message for people asking: What can we actually do to help people in Syria?",Peace
This is what it's been like to witness firsthand the collapse of Islamic State's caliphate in Syria.,Peace
""" You just killed your creature."" - Iranian Information Minister Mohammed Javad Azari-Jahromi",Peace
"""We are deceiving ourselves in this Parliament if we believe that we have no responsibility for what has happened in Syria."" Former UK Chancellor George Osborne made an impassioned speech to MPs at an emergency session on Aleppo on Wednesday night.",Peace
BREAKING: President Trump orders US forces to launch precision strikes on targets associated with chemical weapons in Syria,Peace
"""We reiterate our categorical rejection of measures that would undermine Syrian sovereignty over the Golan.""",Peace
The war in Syria has left as many as a million children orphaned. We met some of them.,Peace
"Assad thanks Putin for ""saving"" his country and for Russia's support in Syria.",Peace
"""He helped us a lot. This was a small thank you for bringing us to Canada. We want to thank him and all the Canadian people.""",Peace
"""Putin views the US strikes on Syria as aggression against a sovereign state in violation of the norms of international law and on a made-up up pretext"" - Dmitry Peskov, spokesperson of Russian president Vladimir Putin Read more here: l",Peace
"Within just a few hours, President Donald J. Trump abandoned stances that were core to his campaign. Watch his stunning u-turns on Russia, NATO, China and Syria",Peace
Turkey is using airstrikes to fight Kurdish militia in Syria.,Peace
"The Syrian war enters its 8th year today. Meanwhile: ~ 465,000 have been killed ~ 1 million injured ~ 12 millions displaced These Syrians are saying ""Not another year""",Peace
"The Right Livelihood Award Foundation cited the White Helmets, also known as Syria Civil Defence, for ""outstanding bravery, compassion and humanitarian engagement in rescuing civilians"".",Peace
"The US, UK and France have bombed multiple government targets in Syria in an operation targeting alleged chemical weapons sites.",Peace
Ramadan around the world.,Peace
In response to a suspected Syrian chemical weapons attack.,Peace
Drone video reveals huge destruction of Aleppo - Syria's largest city.,Peace
"The jet was shot down after it violated turkey's airspace close to the Syrian border and ignored warnings, a Turkish military official told Reuters news agency. http://aje.io/sy92:=:http://www.aljazeera.com/news/2015/11/turkey-shoots-warplane-syria-border-151124081519290.html",Peace
"""A combined operation with the armed forces of France and the United Kingdom is now under way"" - US President Donald Trump",Peace
"Hassan Nasrallah, the leader of Lebanon's Hezbollah movement, has called on the countries of the Middle East to join the battle in Syria and Iraq against the Islamic State of Iraq and the Levant (ISIL) group.",Peace
"Covered in blood and dust, another heartbreaking photo emerges from Aleppo -- a father and son buried in rubble with their final posture still in place, caught in the crossfire of war-torn Syria (Warning: Graphic content)",Peace
"On the same day that ISIS claimed responsibility for an attack in Syria that killed US service members, Vice President Mike Pence declared that ""the caliphate has crumbled and ISIS has been defeated""",Peace
"""Well, you know, you [Saudis] want us to stay, maybe you're going to have to pay.""",Peace
"At least 3,952 people, including 250 civilians, have been killed in the US-led coalition's campaign against the Islamic State of Iraq and the Levant (ISIL) group in Syria, according to a monitoring group. http://aje.io/239d:=:http://www.aljazeera.com/news/2015/11/coalition-strikes-syria-killed-250-civilians-151124075241069.html",Peace
"Turkish troops have begun an offensive in northern Syria, which could bring them into direct conflict with Kurdish-led forces allied to the United States.",Peace
"With much of the country in ruins, millions of Syrians having fled abroad, and a population deeply traumatised by war, one thing is certain: Rebuilding Syria after the war ends will be a lengthy, extremely difficult process.",Peace
"US President Donald Trump told Russia in a tweet to prepare for ""nice and new and 'smart!'"" missile strikes in Syria.",Peace
"Four Americans -- an Army chief warrant officer, a Navy chief cryptologic technician, a Defense Department civilian, and a contractor -- died in the suicide bombing in Syria this week.",Peace
"""Never has there been a greater need for tolerance, compassion and solidarity with people who have lost everything.""",Peace
"US President Trump says he kept US soldiers in northern Syria ""to keep the oil"".",Peace
Survivors recall horror after the largest chemical attack of its kind in Syria since April last year.,Peace
"We're in London, where hundreds of people have gathered for an ""emergency demonstration"" in solidarity with Aleppo, Syria.",Peace
"Yes, I am skeptical that Bashar al-Assad's regime was behind the chemical weapons attack that killed dozens of people in Syria, Democratic Congresswoman Tulsi Gabbard told CNN's Wolf Blitzer.",Peace
New aerial footage of Aleppo reveals the extent of the damage in the Syrian city,Peace
Weâ€™re watching a briefing from the Pentagon on strikes in Syria by the United States and allies.,Peace
"""Tonight I ordered a targeted military strike on the air field in Syria from where the chemical attack was launched."" - President Donald J. Trump",Peace
"The plane, which was on its way to Latakya in Syria, was carrying 82 passengers, RT broadcaster reported.",Peace
"In Traiskirchen, Austria, more than 2,500 people come to the 'Free Ramadan kitchen' for an Iftar meal every day. They are mostly refugees from over 20 countries, including Mongolia, Ukraine, Syria, Afghanistan, Somalia and Libya, who live in the nearby refugee camp.",Peace
Reports from Lebanon say hundreds of Iranian troops have arrived in Syria in the last 10 days and will soon join government forces and their Lebanese Hezbollah allies in a major ground offensive backed by Russian air strikes.,Peace
"""The attack was an act of aggression, which blatantly violated the principles of international law ...""",Peace
"""My family and friends urged me to let go of her body and to let them take her to the cemetery while it was safe to go outside. But I wasn't ready.""",Peace
"Turkish forces have entered Kurdish-held areas of northern Syria. As smoke billows from border towns and tens of thousands flee their homes, the BBC's Middle East correspondent Martin Patience explains what's going on.",Peace
"""You are leaving us to be slaughtered,"" said the commander of the Kurdish-led Syrian Democratic Forces to a senior US diplomat, demanding to know whether the US is going to do anything to protect Syrian Kurds as Turkey continues its military operation targeting America's Kurdish allies in Syria.",Peace
"""If he really wanted to do something for the children of Syria, Trump could open up the US to Syrian refugees."" - Ibrahim al-Marashi",Peace
"President Trump offered varying reasons for giving Turkey the green light to attack US allies in Syria, including the fact that Kurds did not fight alongside the US in World War II.",Peace
What made ISIL? - The US occupation of Iraq - Iranian manipulation of instability in Iraq and Syria - The cruelty and brutality of dictators like Bashar al-Assad - Sectarian cynicism - And more…,Peace
"""There is very intense round-the-clock shelling, 24 hours a day.""",Peace
"""Yesterday morning we awoke to pictures [of] children, foaming at the mouth, suffering convulsions, being carried in the arms of desperate parents,"" US Ambassador to the United Nations Nikki Haley said in the wake of the Syria chemical attack",Peace
"Hoda Muthana, who was born in the US and went to Syria to become a propagandist for IS, says she regrets her actions and wants to return.",Peace
"""Dear Donald, My name is Abdulazez Dukhan. I am 18 years old. I am one of the four million people who have fled Syria.""",Peace
Footage shows civilians suffering in what is suspected to be one of the deadliest chemical attacks in Syria in years,Peace
"Tuesday's attack caused many people to choke or faint, and some had foam coming out of their mouths, the Britain-based Syrian Observatory for Human Rights said.",Peace
"More than 100 civilians have been killed in Syria's Eastern Ghouta in the past 24 hours, the largest single-day death toll in the rebel-held area in nearly three years, according to observers http://cnn.it/2EHFpcS:=:https://www.cnn.com/2018/02/20/middleeast/syria-eastern-ghouta-deadliest-day-intl/index.html?sr=fbCNN022018syria-eastern-ghouta-deadliest-day-intl0609PMVODtop",Peace
"""Let's not play with words and divide the terrorists into moderate and not moderate,"" Putin said. ""I would like to understand what is the difference. Perhaps, some experts believe that moderate bandits behead people in moderate numbers or in some tender way.""",Peace
"Turkey's president has said the regime of Syrian President Bashar al-Assad is funding the Islamic State of Iraq and the Levant (ISIL), and denied that Ankara has bought any oil from the group. H",Peace
Russian Prime Minister Dmitry Medvedev warned the deployment of foreign ground troops into the Syrian conflict could result in a world war,Peace
"Sen. John McCain rips the Trump administration's hands-off Syria policy after latest gas attack, calling it ""another disgraceful chapter in American history.""",Peace
She was only one month old.,Peace
These are the animal victims of the Syria's civil war. They're being nursed back to health by volunteers in a shelter in Damascus. (via BBC World Service),Peace
"Videos of Ahmad began to spread throughout social media in 2014, as the situation for the remaining Palestinian refugees in Syria's Yarmouk continued to deteriorate rapidly. The videos depicted him surrounded by collapsed homes and rubble-filled streets as he played on an old, decrepit piano.",Peace
"More than 9,000 people, including nearly 4,000 civilians, have been killed in one year of Russian air raids in Syria, according to a monitoring group.",Peace
"Iranian military commander Brigadier General Hossein Hamedani has been killed by the Islamic State of Iraq and the Levant (ISIL) on the outskirts of the Syrian city of Aleppo, Iran's army has said. http://aje.io/uwms:=:http://www.aljazeera.com/news/2015/10/isil-kills-top-iranian-commander-syria-151009074246576.html",Peace
"The commander of the Kurdish-led Syrian Democratic Forces told a senior US diplomat, ""You are leaving us to be slaughtered,"" demanding to know whether the US is going to do anything to protect Syrian Kurds as Turkey continues its military operation targeting America's Kurdish allies in Syria.",Peace
BREAKING: President Trump announces ISIS leader Abu Bakr al-Baghdadi is dead after a US raid in Syria,Peace
"Turkish leader rejects international pressure, promises operation will continue until his country's goals are met.",Peace
"At age 19, Hoda Muthana, who is from Hoover, Alabama, traveled to Syria to join ISIS. Five years later, Muthana now says she regrets what she did and wants to return to the United States.",Peace
These Arab women are on the front line in the fight against ISIL in Syria.,Peace
This is how US arms exports to rebel fighters in Syria can end up in the hands of ISIL. (Via People and Power),Peace
"Chris Christie called President Barack Obama ""a joke"" in an interview on The Lead with Jake Tapper, saying the President ""created this entire situation"" with Syria. http://cnn.it/1Qv0s5a:=:http://www.cnn.com/2015/11/18/politics/chris-christie-obama-created-syrian-refugee-crisis/index.html?sr=fbCNN111815chris-christie-obama-created-syrian-refugee-crisis1039PMVODtopVideo&linkId=18863086",Peace
"""If I knew people would treat me like this, I would have just stayed in Syria."" A Syrian boy who was attacked at his school in the UK says he still lives in fear. bbc.in/2HqOqcV:=:https://www.bbc.co.uk/news/video_and_audio/headlines/48274580/bullied-syrian-teenager-fears-for-his-safety",Peace
"The Cold War is a phrase which recalls decades-old fears of nuclear war and mutually assured destruction. Some argue a new, more dangerous Cold War has begun because of rising tensions between the US and Russian governments.",Peace
A film about The White Helmets just won an Oscar for Best Documentary Short. We joined them in Aleppo last year to see their life-saving work. (via Witness - Al Jazeera),Peace
